1	64	92
2	70	58
3	91	74
4	94	100
5	87	84
6	63	86
7	57	75
8	59	60
9	54	72
10	91	91
11	56	82
12	62	63
13	64	75
14	75	58
15	52	77
16	75	68
17	81	84
18	75	96
19	75	66
20	74	74
21	62	87
22	57	64
23	59	60
24	71	81
25	61	98
26	57	82
27	94	81
28	97	89
29	95	89
30	77	62
31	68	82
32	62	84
33	71	69
34	83	50
35	74	64
36	94	84
37	71	54
38	50	71
39	69	65
40	52	67
41	84	60
42	89	85
43	84	78
44	72	79
45	66	72
46	87	78
47	81	84
48	87	82
49	60	67
50	58	70
51	93	62
52	68	100
53	81	71
54	96	50
55	84	63
56	78	55
57	93	64
58	72	67
59	79	97
60	94	93
61	88	74
62	99	82
63	65	61
64	86	98
65	88	76
66	70	88
67	98	100
68	81	86
69	92	76
70	76	73
71	62	55
72	74	90
73	92	98
74	65	69
75	57	63
76	100	81
77	73	64
78	89	57
79	60	51
80	84	65
81	87	84
82	83	58
83	93	94
84	92	81
85	81	51
86	98	88
87	59	63
88	65	84
89	85	61
90	71	74
91	73	74
92	70	65
93	77	78
94	73	91
95	59	50
96	58	96
97	81	86
98	87	60
99	69	64
100	82	54
101	79	73
102	51	82
103	86	79
104	77	53
105	93	91
106	60	77
107	54	65
108	58	99
109	66	88
110	75	99
111	56	78
112	100	97
113	72	97
114	100	59
115	91	96
116	85	79
117	52	55
118	76	88
119	87	55
120	69	81
121	85	83
122	50	61
123	85	74
124	68	88
125	91	51
126	89	89
127	70	68
128	89	89
129	88	97
130	81	97
131	97	82
132	52	55
133	66	98
134	78	57
135	62	79
136	77	98
137	75	70
138	77	84
139	96	50
140	78	58
141	58	72
142	76	79
143	99	91
144	75	72
145	97	95
146	86	71
147	98	50
148	57	69
149	81	50
150	89	77
151	68	93
152	69	92
153	95	70
154	78	52
155	64	96
156	82	79
157	80	84
158	94	55
159	98	68
160	96	64
161	80	74
162	69	98
163	67	74
164	54	91
165	80	67
166	67	79
167	86	76
168	57	90
169	79	86
170	84	75
171	60	72
172	89	75
173	65	84
174	64	54
175	57	69
176	72	63
177	67	86
178	50	82
179	74	95
180	66	91
181	93	83
182	60	54
183	79	51
184	55	51
185	88	51
186	94	90
187	83	97
188	65	65
189	81	65
190	72	75
191	54	72
192	87	100
193	59	93
194	93	74
195	51	80
196	94	91
197	92	81
198	99	52
199	90	54
200	79	95
201	89	91
202	82	90
203	82	95
204	93	87
205	100	98
206	95	67
207	68	81
208	50	60
209	89	66
210	78	51
211	87	75
212	84	99
213	61	93
214	71	78
215	63	74
216	86	57
217	90	97
218	56	76
219	89	82
220	53	99
221	63	66
222	62	59
223	64	78
224	73	75
225	88	71
226	69	73
227	83	99
228	71	89
229	92	93
230	97	79
231	99	87
232	61	75
233	70	86
234	50	80
235	66	70
236	58	63
237	66	95
238	79	94
239	85	56
240	99	66
241	63	67
242	62	55
243	69	96
244	99	52
245	93	55
246	60	86
247	72	74
248	82	72
249	78	68
250	90	79
251	62	74
252	96	97
253	54	80
254	94	73
255	77	94
256	95	85
257	51	81
258	97	71
259	72	78
260	54	84
261	92	99
262	66	53
263	91	90
264	90	66
265	88	75
266	66	98
267	93	87
268	64	52
269	86	57
270	57	93
271	53	76
272	65	61
273	81	84
274	60	53
275	94	92
276	74	93
277	79	55
278	95	96
279	80	53
280	52	89
281	73	100
282	84	98
283	72	61
284	78	69
285	58	75
286	77	90
287	52	88
288	79	50
289	53	53
290	70	97
291	90	80
292	99	68
293	59	65
294	72	65
295	75	60
296	89	55
297	94	63
298	69	64
299	83	96
300	96	70
301	66	97
302	63	95
303	66	84
304	61	65
305	79	100
306	62	95
307	77	50
308	69	92
309	68	89
310	79	76
311	69	51
312	75	55
313	81	72
314	57	59
315	89	82
316	59	95
317	63	94
318	90	88
319	91	87
320	98	73
321	95	71
322	62	91
323	93	71
324	75	57
325	50	55
326	81	99
327	69	91
328	64	50
329	76	79
330	84	50
331	76	84
332	57	73
333	52	88
334	78	83
335	70	69
336	73	83
337	69	51
338	84	87
339	73	57
340	80	62
341	73	97
342	93	61
343	100	78
344	79	98
345	54	97
346	76	62
347	90	71
348	71	91
349	54	50
350	78	79
